# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /home/d/alteraproj/textmax1270/output_files/testmax1270.csv
# Generated on: Mon Dec 25 21:36:40 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Strict Preservation
T[44],Output,PIN_60,4,PIN_60,3.3-V LVCMOS,,,
T[45],Output,PIN_62,4,PIN_62,3.3-V LVCMOS,,,
T[46],Output,PIN_63,4,PIN_63,3.3-V LVCMOS,,,
T[47],Output,PIN_66,4,PIN_66,3.3-V LVCMOS,,,
T[48],Output,PIN_67,4,PIN_67,3.3-V LVCMOS,,,
T[49],Output,PIN_68,4,PIN_68,3.3-V LVCMOS,,,
T[50],Output,PIN_69,4,PIN_69,3.3-V LVCMOS,,,
T[51],Output,PIN_70,4,PIN_70,3.3-V LVCMOS,,,
T[52],Output,PIN_71,4,PIN_71,3.3-V LVCMOS,,,
T[53],Output,PIN_72,4,PIN_72,3.3-V LVCMOS,,,
T[54],Output,PIN_73,3,PIN_73,3.3-V LVCMOS,,,
T[55],Output,PIN_74,3,PIN_74,3.3-V LVCMOS,,,
T[56],Output,PIN_75,3,PIN_75,3.3-V LVCMOS,,,
T[57],Output,PIN_76,3,PIN_76,3.3-V LVCMOS,,,
T[58],Output,PIN_77,3,PIN_77,3.3-V LVCMOS,,,
T[59],Output,PIN_78,3,PIN_78,3.3-V LVCMOS,,,
T[60],Output,PIN_79,3,PIN_79,3.3-V LVCMOS,,,
T[61],Output,PIN_80,3,PIN_80,3.3-V LVCMOS,,,
T[62],Output,PIN_81,3,PIN_81,3.3-V LVCMOS,,,
T[63],Output,PIN_84,3,PIN_84,3.3-V LVCMOS,,,
T[64],Output,PIN_85,3,PIN_85,3.3-V LVCMOS,,,
T[65],Output,PIN_86,3,PIN_86,3.3-V LVCMOS,,,
T[66],Output,PIN_87,3,PIN_87,3.3-V LVCMOS,,,
T[67],Output,PIN_88,3,PIN_88,3.3-V LVCMOS,,,
T[68],Output,PIN_89,3,PIN_89,3.3-V LVCMOS,,,
T[69],Output,PIN_91,3,PIN_91,3.3-V LVCMOS,,,
T[70],Output,PIN_93,3,PIN_93,3.3-V LVCMOS,,,
T[71],Output,PIN_94,3,PIN_94,3.3-V LVCMOS,,,
T[72],Output,PIN_95,3,PIN_95,3.3-V LVCMOS,,,
T[73],Output,PIN_96,3,PIN_96,3.3-V LVCMOS,,,
T[74],Output,PIN_97,3,PIN_97,3.3-V LVCMOS,,,
T[75],Output,PIN_98,3,PIN_98,3.3-V LVCMOS,,,
T[76],Output,PIN_101,3,PIN_101,3.3-V LVCMOS,,,
T[77],Output,PIN_102,3,PIN_102,3.3-V LVCMOS,,,
T[78],Output,PIN_103,3,PIN_103,3.3-V LVCMOS,,,
T[79],Output,PIN_104,3,PIN_104,3.3-V LVCMOS,,,
T[80],Output,PIN_105,3,PIN_105,3.3-V LVCMOS,,,
T[81],Output,PIN_106,3,PIN_106,3.3-V LVCMOS,,,
T[82],Output,PIN_107,3,PIN_107,3.3-V LVCMOS,,,
T[83],Output,PIN_108,3,PIN_108,3.3-V LVCMOS,,,
T[84],Output,PIN_109,2,PIN_109,3.3-V LVCMOS,,,
T[85],Output,PIN_110,2,PIN_110,3.3-V LVCMOS,,,
T[86],Output,PIN_111,2,PIN_111,3.3-V LVCMOS,,,
T[87],Output,PIN_112,2,PIN_112,3.3-V LVCMOS,,,
T[88],Output,PIN_113,2,PIN_113,3.3-V LVCMOS,,,
T[89],Output,PIN_114,2,PIN_114,3.3-V LVCMOS,,,
T[90],Output,PIN_117,2,PIN_117,3.3-V LVCMOS,,,
T[91],Output,PIN_118,2,PIN_118,3.3-V LVCMOS,,,
T[92],Output,PIN_119,2,PIN_119,3.3-V LVCMOS,,,
T[93],Output,PIN_120,2,PIN_120,3.3-V LVCMOS,,,
T[94],Output,PIN_121,2,PIN_121,3.3-V LVCMOS,,,
T[95],Output,PIN_122,2,PIN_122,3.3-V LVCMOS,,,
T[96],Output,PIN_123,2,PIN_123,3.3-V LVCMOS,,,
T[97],Output,PIN_124,2,PIN_124,3.3-V LVCMOS,,,
T[98],Output,PIN_125,2,PIN_125,3.3-V LVCMOS,,,
T[99],Output,PIN_127,2,PIN_127,3.3-V LVCMOS,,,
T[100],Output,PIN_129,2,PIN_129,3.3-V LVCMOS,,,
T[101],Output,PIN_130,2,PIN_130,3.3-V LVCMOS,,,
T[102],Output,PIN_131,2,PIN_131,3.3-V LVCMOS,,,
T[103],Output,PIN_132,2,PIN_132,3.3-V LVCMOS,,,
T[104],Output,PIN_133,2,PIN_133,3.3-V LVCMOS,,,
T[105],Output,PIN_134,2,PIN_134,3.3-V LVCMOS,,,
T[106],Output,PIN_137,2,PIN_137,3.3-V LVCMOS,,,
T[107],Output,PIN_138,2,PIN_138,3.3-V LVCMOS,,,
T[108],Output,PIN_139,2,PIN_139,3.3-V LVCMOS,,,
T[109],Output,PIN_140,2,PIN_140,3.3-V LVCMOS,,,
T[110],Output,PIN_141,2,PIN_141,3.3-V LVCMOS,,,
T[111],Output,PIN_142,2,PIN_142,3.3-V LVCMOS,,,
T[112],Output,PIN_143,2,PIN_143,3.3-V LVCMOS,,,
T[113],Output,PIN_144,2,PIN_144,3.3-V LVCMOS,,,
reset,Input,PIN_61,4,PIN_61,3.3-V LVTTL,,,
